

;Start
2200000, San Juan, San Juan, Puerto Rico, 
2175000, București, Bucharest, Romania, 
2175000, Cebu, Cebu, Philippines, 
2150000, Belém, Belém, Brazil, 
2150000, Toluca, Toluca, Mexico, 
2125000, Leeds, Leeds, Great Britain, 
2125000, Lusaka, Lusaka, Zambia, 
2125000, München, Munich, Germany, 
2100000, Maputo, Maputo, Mozambique, 
2075000, Baotou, Baotou, China, 
2075000, Bhopāl, Bhopal, India, 
2075000, Multān, Multan, Pakistan, 
2075000, Pittsburgh, Pittsburgh, United States of America, 
2075000, Wien, Vienna, Austria, 
2025000, Las Vegas, Las Vegas, United States of America, 
2025000, Manaus, Manaus, Brazil, 
2025000, Rabat, Rabat, Morocco, 
2025000, Stockholm, Stockholm, Sweden, 
2025000, Taizhou, Taizhou, China, 
2025000, Yantai, Yantai, China, 
2000000, Bruxelles, Brussels, Belgium, 
2000000, Ouagadougou, Ouagadougou, Burkina Faso, 
2000000, Semarang, Semarang, Indonesia, 
1980000, San Antonio, San Antonio, United States of America, 
1970000, Cixi, Cixi, China, 
1970000, Vadodara, Vadodara, India, 
1950000, Āgra, Agra, India, 
1950000, Barranquilla, Barranquilla, Colombia, 
1950000, Perth, Perth, Australia, 
1950000, Sacramento, Sacramento, United States of America, 
1950000, Valencia, Valencia, Venezuela, 
1940000, Conakry, Conakry, Guinea, 
1930000, Chandīgarh, Chandigarh, India, 
1930000, Minsk, Minsk, Belarus, 
1930000, Port Harcourt, Port Harcourt, Nigeria, 
1920000, Stuttgart, Stuttgart, Germany, 
1900000, Ad-Dawḥah, Doha, Qatar, 
1900000, Indianapolis, Indianapolis, United States of America, 
1900000, Kansas City, Kansas City, United States of America, 
1900000, Tijuana, Tijuana, Mexico, 
1900000, Visākhapatnam, Vishakhapatnam, India, 
1890000, Bursa, Bursa, Turkey, 
1890000, Lyon, Lyon, France, 
1880000, San Salvador, San Salvador, El Salvador, 
1870000, Hiroshima, Hiroshima, Japan, 
1860000, Vitória, Vitória, Brazil, 
1830000, Liverpool, Liverpool, Great Britain, 
1810000, Peshāwar, Peshawar, Pakistan, 
1810000, San José, San José, Costa Rica, 
1800000, Brazzaville, Brazzaville, Congo (Rep.), 
1800000, La Paz, La Paz, Bolivia, 
1790000, Daqing, Daqing, China, 
1790000, Liuzhou, Liuzhou, China, 
1790000, Ludhiāna, Ludhiana, India, 
1790000, Montevideo, Montevideo, Uruguay, 
1790000, Santos, Santos, Brazil, 
1790000, Valencia, Valencia, Spain, 
1780000, Lubumbashi, Lubumbashi, Congo (Dem. Rep.), 
1780000, Makkah, Mecca, Saudi Arabia, 
1770000, Quito, Quito, Ecuador, 
1760000, Huai'an, Huai'an, China, 
1760000, Mbuji-Mayi, Mbuji-Mayi, Congo (Dem. Rep.), 
1760000, Santa Cruz, Santa Cruz, Bolivia, 
1750000, Nāshik, Nasik, India, 
1750000, Nižnij Novgorod, Nizhny Novgorod, Russia, 
1730000, Köln, Cologne, Germany, 
1730000, Vārānasi, Benares, India, 
1720000, Luoyang, Luoyang, China, 
1710000, Hartford, Hartford, United States of America, incl. Springfield MA
1710000, Makassar, Makassar, Indonesia, 
1710000, Yangzhou, Yangzhou, China, 
1700000, Abuja, Abuja, Nigeria, 
1700000, Almaty, Alma-Ata, Kazakhstan, 
1700000, Kaduna, Kaduna, Nigeria, 
1690000, Ghazzah, Gaza, Palestinian Territories, 
1690000, Haikou, Haikou, China, 
1690000, Huainan, Huainan, China, 
1690000, León, León, Mexico, 
1690000, Phnum Pénh, Phnom Penh, Cambodia, 
1680000, Hohhot, Huhehot, China, 
1670000, Bhubaneswar, Bhubaneswar, India, incl. Cuttack
1670000, Muqdisho, Mogadishu, Somalia, 
1670000, Vijayawāda, Vijayawada, India, 
1660000, Austin, Austin, United States of America, 
1660000, Charkiv, Kharkov, Ukraine, 
1650000, Adana, Adana, Turkey, 
1650000, Linyi, Linyi, China, 
1640000, Marseille, Marseille, France, 
1640000, Palembang, Palembang, Indonesia, 
1630000, Lomé, Lomé, Togo, 
1630000, Torino, Turin, Italy, 
1620000, Al-Mawṣil, Mosul, Iraq, 
1620000, Columbus, Columbus, United States of America, 
1620000, Shīrāz, Shiraz, Iran, 
1610000, Glasgow, Glasgow, Great Britain, 
1610000, Hengyang, Hengyang, China, 
1610000, Novosibirsk, Novosibirsk, Russia, 
1590000, Madurai, Madurai, India, 
1590000, Virginia Beach, Virginia Beach, United States of America, incl. Norfolk
1580000, Gwangju, Kwangju, Korea (South), 
1580000, Sendai, Sendai, Japan, 
1580000, Tabrīz, Tabriz, Iran, 
1570000, Jekaterinburg, Yekaterinburg, Russia, 
1560000, Córdoba, Córdoba, Argentina, 
1560000, Kitakyūshū, Kitakyushu, Japan, 
1560000, Rājkot, Rajkot, India, 
1550000, Daejeon, Taejon, Korea (South), 
1540000, Meerut, Meerut, India, 
1540000, Milwaukee, Milwaukee, United States of America, 
1530000, Baoding, Baoding, China, 
1520000, Sheffield, Sheffield, Great Britain, 
1520000, Xiangyang, Xiangyang, China, 
1510000, Aurangābād, Aurangabad, India, 
1510000, Kochi, Cochin, India, 
1500000, Benin City, Benin City, Nigeria, 
1500000, København, Copenhagen, Denmark, 
1490000, George Town, George Town, Malaysia, 
1490000, Jamshedpur, Jamshedpur, India, 
1490000, Yiwu, Yiwu, China, 
1490000, Zhuhai, Zhuhai, China, 
1480000, Datong, Datong, China, 
1480000, Gaziantep, Gaziantep, Turkey, 
1480000, Jilin, Jilin, China, 
1460000, Āsansol, Āsansol, India, 
1460000, Yinchuan, Yinchuan, China, 
1450000, Donėc'k, Donetsk, Ukraine, 
1450000, Newcastle upon Tyne, Newcastle upon Tyne, Great Britain, 
1450000, Raleigh, Raleigh, United States of America, 
1440000, Auckland, Auckland, New Zealand, 
1440000, Ciudad Juárez, Ciudad Juárez, Mexico, 
1440000, Okayama, Okayama, Japan, 
1440000, Praha, Prague, Czech Republic, 
1430000, Al-Manāmah, Manama, Bahrain, 
1410000, Volgograd, Volgograd, Russia, 
1400000, Beograd, Belgrade, Serbia, 
1400000, Denpasar, Denpasar, Indonesia, 
1400000, Dnipropėtrovs'k, Dnepropetrovsk, Ukraine, 
1390000, Malang, Malang, Indonesia, 
1390000, São Luís, São Luís, Brazil, 
1390000, Srīnagar, Srinagar, India, 
1370000, Čel'abinsk, Chelyabinsk, Russia, 
1370000, Freetown, Freetown, Sierra Leone, 
1370000, Natal, Natal, Brazil, 
1360000, Jabalpur, Jabalpur, India, 
1360000, Maracay, Maracay, Venezuela, 
1350000, Calgary, Calgary, Canada, 
